"year","state","sector","source","carbdiox_millmtrcton"
1985,"alabama","Industrial","Petroleum Products",2.9
1985,"alabama","Industrial","Natural Gas",7.6
1985,"alabama","Industrial","All",23.5
1985,"alabama","Transportation","Coal",0
1985,"alabama","Transportation","Petroleum Products",22.9
1985,"alabama","Transportation","Natural Gas",0.6
1985,"alabama","Transportation","All",23.5
1985,"alabama","Electric Power","Coal",48.8
1985,"alabama","Electric Power","Petroleum Products",0
1985,"alabama","Electric Power","Natural Gas",0.1
1985,"alabama","Electric Power","All",48.9
1985,"alabama","All","Coal",62.1
1985,"alabama","All","Petroleum Products",27.2
1985,"alabama","All","Natural Gas",12.1
1985,"alabama","All","All",101.5
1986,"alabama","Residential","Coal",0.1
1986,"alabama","Residential","Petroleum Products",0.5
1986,"alabama","Residential","Natural Gas",2.5
1986,"alabama","Residential","All",3
1986,"alabama","Commercial","Coal",0.2
1986,"alabama","Commercial","Petroleum Products",0.9
1986,"alabama","Commercial","Natural Gas",1.4
1986,"alabama","Commercial","All",2.5
1986,"alabama","Industrial","Coal",12.6
1986,"alabama","Industrial","Petroleum Products",3.1
1986,"alabama","Industrial","Natural Gas",6.7
1986,"alabama","Industrial","All",22.4
1986,"alabama","Transportation","Coal",0
1986,"alabama","Transportation","Petroleum Products",23.9
1986,"alabama","Transportation","Natural Gas",0.5
1986,"alabama","Transportation","All",24.5
1986,"alabama","Electric Power","Coal",49.1
1986,"alabama","Electric Power","Petroleum Products",0
1986,"alabama","Electric Power","Natural Gas",0.1
1986,"alabama","Electric Power","All",49.1
1986,"alabama","All","Coal",61.9
1986,"alabama","All","Petroleum Products",28.4
1986,"alabama","All","Natural Gas",11.2
1986,"alabama","All","All",101.5
1987,"alabama","Residential","Coal",0.1
1987,"alabama","Residential","Petroleum Products",0.6
1987,"alabama","Residential","Natural Gas",2.7
1987,"alabama","Residential","All",3.4
1987,"alabama","Commercial","Coal",0.2
1987,"alabama","Commercial","Petroleum Products",0.8
1987,"alabama","Commercial","Natural Gas",1.2
1987,"alabama","Commercial","All",2.3
1987,"alabama","Industrial","Coal",13.9
1987,"alabama","Industrial","Petroleum Products",3.5
1987,"alabama","Industrial","Natural Gas",6.7
1987,"alabama","Industrial","All",24.1
1987,"alabama","Transportation","Coal",0
1987,"alabama","Transportation","Petroleum Products",25.3
1987,"alabama","Transportation","Natural Gas",0.6
1987,"alabama","Transportation","All",26
1987,"alabama","Electric Power","Coal",47.7
1987,"alabama","Electric Power","Petroleum Products",0
1987,"alabama","Electric Power","Natural Gas",0.1
1987,"alabama","Electric Power","All",47.8
1987,"alabama","All","Coal",61.9
1987,"alabama","All","Petroleum Products",30.3
1987,"alabama","All","Natural Gas",11.4
1987,"alabama","All","All",103.6
1988,"alabama","Residential","Coal",0.1
1988,"alabama","Residential","Petroleum Products",0.6
1988,"alabama","Residential","Natural Gas",2.7
1988,"alabama","Residential","All",3.4
1988,"alabama","Commercial","Coal",0.3
1988,"alabama","Commercial","Petroleum Products",1
1988,"alabama","Commercial","Natural Gas",1.4
1988,"alabama","Commercial","All",2.6
1988,"alabama","Industrial","Coal",15.1
1988,"alabama","Industrial","Petroleum Products",3.5
1988,"alabama","Industrial","Natural Gas",8
1988,"alabama","Industrial","All",26.6
1988,"alabama","Transportation","Coal",0
1988,"alabama","Transportation","Petroleum Products",25.7
1988,"alabama","Transportation","Natural Gas",0.7
1988,"alabama","Transportation","All",26.3
1988,"alabama","Electric Power","Coal",45.8
1988,"alabama","Electric Power","Petroleum Products",0.1
1988,"alabama","Electric Power","Natural Gas",0.1
1988,"alabama","Electric Power","All",46
1988,"alabama","All","Coal",61.2
1988,"alabama","All","Petroleum Products",30.8
1988,"alabama","All","Natural Gas",12.9
1988,"alabama","All","All",105
1989,"alabama","Residential","Coal",0
1989,"alabama","Residential","Petroleum Products",0.7
1989,"alabama","Residential","Natural Gas",2.6
1989,"alabama","Residential","All",3.3
1989,"alabama","Commercial","Coal",0.1
1989,"alabama","Commercial","Petroleum Products",0.9
1989,"alabama","Commercial","Natural Gas",1.4
1989,"alabama","Commercial","All",2.5
1989,"alabama","Industrial","Coal",13.6
1989,"alabama","Industrial","Petroleum Products",3.3
1989,"alabama","Industrial","Natural Gas",8.5
1989,"alabama","Industrial","All",25.4
1989,"alabama","Transportation","Coal",0
1989,"alabama","Transportation","Petroleum Products",27.5
1989,"alabama","Transportation","Natural Gas",0.7
1989,"alabama","Transportation","All",28.3
1989,"alabama","Electric Power","Coal",50.3
1989,"alabama","Electric Power","Petroleum Products",0.1
1989,"alabama","Electric Power","Natural Gas",0.2
1989,"alabama","Electric Power","All",50.6
1989,"alabama","All","Coal",64
1989,"alabama","All","Petroleum Products",32.5
1989,"alabama","All","Natural Gas",13.5
1989,"alabama","All","All",110
1990,"alabama","Residential","Coal",0
1990,"alabama","Residential","Petroleum Products",0.6
1990,"alabama","Residential","Natural Gas",2.5
1990,"alabama","Residential","All",3.1
1990,"alabama","Commercial","Coal",0.2
1990,"alabama","Commercial","Petroleum Products",0.9
1990,"alabama","Commercial","Natural Gas",1.3
1990,"alabama","Commercial","All",2.4
1990,"alabama","Industrial","Coal",13.5
1990,"alabama","Industrial","Petroleum Products",3.5
1990,"alabama","Industrial","Natural Gas",8.5
1990,"alabama","Industrial","All",25.5
1990,"alabama","Transportation","Coal",0
1990,"alabama","Transportation","Petroleum Products",27.2
1990,"alabama","Transportation","Natural Gas",0.8
1990,"alabama","Transportation","All",28
1990,"alabama","Electric Power","Coal",50.5
1990,"alabama","Electric Power","Petroleum Products",0.1
1990,"alabama","Electric Power","Natural Gas",0.3
1990,"alabama","Electric Power","All",50.9
1990,"alabama","All","Coal",64.2
1990,"alabama","All","Petroleum Products",32.3
1990,"alabama","All","Natural Gas",13.4
1990,"alabama","All","All",109.9
1991,"alabama","Residential","Coal",0
1991,"alabama","Residential","Petroleum Products",0.5
1991,"alabama","Residential","Natural Gas",2.5
1991,"alabama","Residential","All",3
1991,"alabama","Commercial","Coal",0
1991,"alabama","Commercial","Petroleum Products",0.7
1991,"alabama","Commercial","Natural Gas",1.3
1991,"alabama","Commercial","All",2
1991,"alabama","Industrial","Coal",13.7
1991,"alabama","Industrial","Petroleum Products",3.1
1991,"alabama","Industrial","Natural Gas",8.9
1991,"alabama","Industrial","All",25.7
1991,"alabama","Transportation","Coal",0
1991,"alabama","Transportation","Petroleum Products",27.7
1991,"alabama","Transportation","Natural Gas",0.9
1991,"alabama","Transportation","All",28.6
1991,"alabama","Electric Power","Coal",54.5
1991,"alabama","Electric Power","Petroleum Products",0.1
1991,"alabama","Electric Power","Natural Gas",0.3
1991,"alabama","Electric Power","All",54.8
1991,"alabama","All","Coal",68.2
1991,"alabama","All","Petroleum Products",32.1
