"year","state","sector","source","carbdiox_millmtrcton"
1981,"louisiana","Electric Power","Natural Gas",23
1981,"louisiana","Electric Power","All",26.8
1981,"louisiana","All","Coal",2.2
1981,"louisiana","All","Petroleum Products",100.6
1981,"louisiana","All","Natural Gas",95.5
1981,"louisiana","All","All",198.4
1982,"louisiana","Residential","Coal",0
1982,"louisiana","Residential","Petroleum Products",0.2
1982,"louisiana","Residential","Natural Gas",3.8
1982,"louisiana","Residential","All",4
1982,"louisiana","Commercial","Coal",0
1982,"louisiana","Commercial","Petroleum Products",8.7
1982,"louisiana","Commercial","Natural Gas",1.9
1982,"louisiana","Commercial","All",10.5
1982,"louisiana","Industrial","Coal",0.7
1982,"louisiana","Industrial","Petroleum Products",45.3
1982,"louisiana","Industrial","Natural Gas",54.6
1982,"louisiana","Industrial","All",100.6
1982,"louisiana","Transportation","Coal",0
1982,"louisiana","Transportation","Petroleum Products",37.6
1982,"louisiana","Transportation","Natural Gas",3.5
1982,"louisiana","Transportation","All",41.1
1982,"louisiana","Electric Power","Coal",5.3
1982,"louisiana","Electric Power","Petroleum Products",0.8
1982,"louisiana","Electric Power","Natural Gas",20.7
1982,"louisiana","Electric Power","All",26.8
1982,"louisiana","All","Coal",6
1982,"louisiana","All","Petroleum Products",92.6
1982,"louisiana","All","Natural Gas",84.4
1982,"louisiana","All","All",183.1
1983,"louisiana","Residential","Coal",0
1983,"louisiana","Residential","Petroleum Products",0.2
1983,"louisiana","Residential","Natural Gas",3.8
1983,"louisiana","Residential","All",4
1983,"louisiana","Commercial","Coal",0
1983,"louisiana","Commercial","Petroleum Products",1.7
1983,"louisiana","Commercial","Natural Gas",1.9
1983,"louisiana","Commercial","All",3.6
1983,"louisiana","Industrial","Coal",0.7
1983,"louisiana","Industrial","Petroleum Products",45.6
1983,"louisiana","Industrial","Natural Gas",51.3
1983,"louisiana","Industrial","All",97.6
1983,"louisiana","Transportation","Coal",0
1983,"louisiana","Transportation","Petroleum Products",40.1
1983,"louisiana","Transportation","Natural Gas",2.6
1983,"louisiana","Transportation","All",42.7
1983,"louisiana","Electric Power","Coal",9.4
1983,"louisiana","Electric Power","Petroleum Products",0.3
1983,"louisiana","Electric Power","Natural Gas",16.5
1983,"louisiana","Electric Power","All",26.2
1983,"louisiana","All","Coal",10
1983,"louisiana","All","Petroleum Products",88
1983,"louisiana","All","Natural Gas",76.1
1983,"louisiana","All","All",174.2
1984,"louisiana","Residential","Coal",0
1984,"louisiana","Residential","Petroleum Products",0.2
1984,"louisiana","Residential","Natural Gas",3.8
1984,"louisiana","Residential","All",4
1984,"louisiana","Commercial","Coal",0
1984,"louisiana","Commercial","Petroleum Products",1.3
1984,"louisiana","Commercial","Natural Gas",1.8
1984,"louisiana","Commercial","All",3.1
1984,"louisiana","Industrial","Coal",0.8
1984,"louisiana","Industrial","Petroleum Products",41.7
1984,"louisiana","Industrial","Natural Gas",60.9
1984,"louisiana","Industrial","All",103.4
1984,"louisiana","Transportation","Coal",0
1984,"louisiana","Transportation","Petroleum Products",39.8
1984,"louisiana","Transportation","Natural Gas",2.7
1984,"louisiana","Transportation","All",42.5
1984,"louisiana","Electric Power","Coal",10.3
1984,"louisiana","Electric Power","Petroleum Products",0.1
1984,"louisiana","Electric Power","Natural Gas",16.7
1984,"louisiana","Electric Power","All",27.2
1984,"louisiana","All","Coal",11.2
1984,"louisiana","All","Petroleum Products",83
1984,"louisiana","All","Natural Gas",86
1984,"louisiana","All","All",180.2
1985,"louisiana","Residential","Coal",0
1985,"louisiana","Residential","Petroleum Products",0.2
1985,"louisiana","Residential","Natural Gas",3.3
1985,"louisiana","Residential","All",3.6
1985,"louisiana","Commercial","Coal",0
1985,"louisiana","Commercial","Petroleum Products",1.6
1985,"louisiana","Commercial","Natural Gas",1.7
1985,"louisiana","Commercial","All",3.3
1985,"louisiana","Industrial","Coal",1
1985,"louisiana","Industrial","Petroleum Products",39.7
1985,"louisiana","Industrial","Natural Gas",51.3
1985,"louisiana","Industrial","All",92
1985,"louisiana","Transportation","Coal",0
1985,"louisiana","Transportation","Petroleum Products",39.3
1985,"louisiana","Transportation","Natural Gas",2.3
1985,"louisiana","Transportation","All",41.6
1985,"louisiana","Electric Power","Coal",13.9
1985,"louisiana","Electric Power","Petroleum Products",0.1
1985,"louisiana","Electric Power","Natural Gas",15.8
1985,"louisiana","Electric Power","All",29.8
1985,"louisiana","All","Coal",15
1985,"louisiana","All","Petroleum Products",80.9
1985,"louisiana","All","Natural Gas",74.4
1985,"louisiana","All","All",170.3
1986,"louisiana","Residential","Coal",0
1986,"louisiana","Residential","Petroleum Products",0.2
1986,"louisiana","Residential","Natural Gas",3.2
1986,"louisiana","Residential","All",3.4
1986,"louisiana","Commercial","Coal",0
1986,"louisiana","Commercial","Petroleum Products",1.6
1986,"louisiana","Commercial","Natural Gas",1.5
1986,"louisiana","Commercial","All",3.1
1986,"louisiana","Industrial","Coal",0.6
1986,"louisiana","Industrial","Petroleum Products",40.9
1986,"louisiana","Industrial","Natural Gas",55.3
1986,"louisiana","Industrial","All",96.8
1986,"louisiana","Transportation","Coal",0
1986,"louisiana","Transportation","Petroleum Products",44.5
1986,"louisiana","Transportation","Natural Gas",2.5
1986,"louisiana","Transportation","All",47
1986,"louisiana","Electric Power","Coal",15.6
1986,"louisiana","Electric Power","Petroleum Products",0.3
1986,"louisiana","Electric Power","Natural Gas",14.8
1986,"louisiana","Electric Power","All",30.7
1986,"louisiana","All","Coal",16.2
1986,"louisiana","All","Petroleum Products",87.6
1986,"louisiana","All","Natural Gas",77.4
1986,"louisiana","All","All",181.1
1987,"louisiana","Residential","Coal",0
1987,"louisiana","Residential","Petroleum Products",0.2
1987,"louisiana","Residential","Natural Gas",3.4
1987,"louisiana","Residential","All",3.6
1987,"louisiana","Commercial","Coal",0
1987,"louisiana","Commercial","Petroleum Products",0.8
1987,"louisiana","Commercial","Natural Gas",1.5
1987,"louisiana","Commercial","All",2.4
1987,"louisiana","Industrial","Coal",0.8
1987,"louisiana","Industrial","Petroleum Products",39.7
1987,"louisiana","Industrial","Natural Gas",59.3
1987,"louisiana","Industrial","All",99.8
1987,"louisiana","Transportation","Coal",0
1987,"louisiana","Transportation","Petroleum Products",43.4
1987,"louisiana","Transportation","Natural Gas",2.8
1987,"louisiana","Transportation","All",46.2
1987,"louisiana","Electric Power","Coal",15.4
1987,"louisiana","Electric Power","Petroleum Products",0.1
1987,"louisiana","Electric Power","Natural Gas",13.7
1987,"louisiana","Electric Power","All",29.1
1987,"louisiana","All","Coal",16.2
1987,"louisiana","All","Petroleum Products",84.1
1987,"louisiana","All","Natural Gas",80.7
1987,"louisiana","All","All",181
1988,"louisiana","Residential","Coal",0
1988,"louisiana","Residential","Petroleum Products",0.2
1988,"louisiana","Residential","Natural Gas",3.3
1988,"louisiana","Residential","All",3.5
1988,"louisiana","Commercial","Coal",0
1988,"louisiana","Commercial","Petroleum Products",0.7
1988,"louisiana","Commercial","Natural Gas",1.5
1988,"louisiana","Commercial","All",2.2
1988,"louisiana","Industrial","Coal",1
1988,"louisiana","Industrial","Petroleum Products",42.7
1988,"louisiana","Industrial","Natural Gas",55.8
1988,"louisiana","Industrial","All",99.5
1988,"louisiana","Transportation","Coal",0
1988,"louisiana","Transportation","Petroleum Products",46.3
1988,"louisiana","Transportation","Natural Gas",3.1
1988,"louisiana","Transportation","All",49.4
1988,"louisiana","Electric Power","Coal",19
1988,"louisiana","Electric Power","Petroleum Products",0.3
1988,"louisiana","Electric Power","Natural Gas",13.9
1988,"louisiana","Electric Power","All",33.1
1988,"louisiana","All","Coal",20
1988,"louisiana","All","Petroleum Products",90.1
1988,"louisiana","All","Natural Gas",77.7
1988,"louisiana","All","All",187.7
1989,"louisiana","Residential","Coal",0
1989,"louisiana","Residential","Petroleum Products",0.2
1989,"louisiana","Residential","Natural Gas",3.2
1989,"louisiana","Residential","All",3.4
1989,"louisiana","Commercial","Coal",0
1989,"louisiana","Commercial","Petroleum Products",0.5
1989,"louisiana","Commercial","Natural Gas",1.5
1989,"louisiana","Commercial","All",2.1
1989,"louisiana","Industrial","Coal",1.3
1989,"louisiana","Industrial","Petroleum Products",41
1989,"louisiana","Industrial","Natural Gas",61.5
1989,"louisiana","Industrial","All",103.7
1989,"louisiana","Transportation","Coal",0
1989,"louisiana","Transportation","Petroleum Products",46.8
1989,"louisiana","Transportation","Natural Gas",2.8
1989,"louisiana","Transportation","All",49.6
1989,"louisiana","Electric Power","Coal",18.2
1989,"louisiana","Electric Power","Petroleum Products",0.2
1989,"louisiana","Electric Power","Natural Gas",14.6
1989,"louisiana","Electric Power","All",33
1989,"louisiana","All","Coal",19.5
1989,"louisiana","All","Petroleum Products",88.7
1989,"louisiana","All","Natural Gas",83.5
1989,"louisiana","All","All",191.7
1990,"louisiana","Residential","Coal",0
1990,"louisiana","Residential","Petroleum Products",0.2
1990,"louisiana","Residential","Natural Gas",3
1990,"louisiana","Residential","All",3.1
1990,"louisiana","Commercial","Coal",0
1990,"louisiana","Commercial","Petroleum Products",0.5
1990,"louisiana","Commercial","Natural Gas",1.4
1990,"louisiana","Commercial","All",1.9
1990,"louisiana","Industrial","Coal",1.5
1990,"louisiana","Industrial","Petroleum Products",46.1
1990,"louisiana","Industrial","Natural Gas",61.9
1990,"louisiana","Industrial","All",109.5
1990,"louisiana","Transportation","Coal",0
1990,"louisiana","Transportation","Petroleum Products",46.1
1990,"louisiana","Transportation","Natural Gas",3.1
1990,"louisiana","Transportation","All",49.2
1990,"louisiana","Electric Power","Coal",18.2
1990,"louisiana","Electric Power","Petroleum Products",0.2
1990,"louisiana","Electric Power","Natural Gas",15.8
1990,"louisiana","Electric Power","All",34.2
1990,"louisiana","All","Coal",19.7
1990,"louisiana","All","Petroleum Products",93.1
1990,"louisiana","All","Natural Gas",85.1
1990,"louisiana","All","All",197.9
1991,"louisiana","Residential","Coal",0
1991,"louisiana","Residential","Petroleum Products",0.2
1991,"louisiana","Residential","Natural Gas",3
1991,"louisiana","Residential","All",3.2
1991,"louisiana","Commercial","Coal",0
1991,"louisiana","Commercial","Petroleum Products",0.5
1991,"louisiana","Commercial","Natural Gas",1.4
1991,"louisiana","Commercial","All",1.9
1991,"louisiana","Industrial","Coal",1
1991,"louisiana","Industrial","Petroleum Products",44.7
1991,"louisiana","Industrial","Natural Gas",59.5
1991,"louisiana","Industrial","All",105.3
1991,"louisiana","Transportation","Coal",0
1991,"louisiana","Transportation","Petroleum Products",48.8
1991,"louisiana","Transportation","Natural Gas",3
1991,"louisiana","Transportation","All",51.8
1991,"louisiana","Electric Power","Coal",19.2
1991,"louisiana","Electric Power","Petroleum Products",0
1991,"louisiana","Electric Power","Natural Gas",15
1991,"louisiana","Electric Power","All",34.2
1991,"louisiana","All","Coal",20.2
1991,"louisiana","All","Petroleum Products",94.3
1991,"louisiana","All","Natural Gas",82
1991,"louisiana","All","All",196.4
1992,"louisiana","Residential","Coal",0
1992,"louisiana","Residential","Petroleum Products",0.2
1992,"louisiana","Residential","Natural Gas",3.1
1992,"louisiana","Residential","All",3.3
1992,"louisiana","Commercial","Coal",0
1992,"louisiana","Commercial","Petroleum Products",0.4
1992,"louisiana","Commercial","Natural Gas",1.6
1992,"louisiana","Commercial","All",2
1992,"louisiana","Industrial","Coal",1.1
1992,"louisiana","Industrial","Petroleum Products",47.8
1992,"louisiana","Industrial","Natural Gas",61
1992,"louisiana","Industrial","All",109.9
1992,"louisiana","Transportation","Coal",0
1992,"louisiana","Transportation","Petroleum Products",49
1992,"louisiana","Transportation","Natural Gas",3
1992,"louisiana","Transportation","All",52
1992,"louisiana","Electric Power","Coal",20
1992,"louisiana","Electric Power","Petroleum Products",1.2
1992,"louisiana","Electric Power","Natural Gas",14.4
1992,"louisiana","Electric Power","All",35.6
1992,"louisiana","All","Coal",21.1
1992,"louisiana","All","Petroleum Products",98.6
1992,"louisiana","All","Natural Gas",83.1
1992,"louisiana","All","All",202.8
1993,"louisiana","Residential","Coal",0
1993,"louisiana","Residential","Petroleum Products",0.1
1993,"louisiana","Residential","Natural Gas",3.1
1993,"louisiana","Residential","All",3.3
1993,"louisiana","Commercial","Coal",0
1993,"louisiana","Commercial","Petroleum Products",0.4
1993,"louisiana","Commercial","Natural Gas",1.4
1993,"louisiana","Commercial","All",1.8
1993,"louisiana","Industrial","Coal",1
1993,"louisiana","Industrial","Petroleum Products",48.8
1993,"louisiana","Industrial","Natural Gas",62.8
1993,"louisiana","Industrial","All",112.6
1993,"louisiana","Transportation","Coal",0
1993,"louisiana","Transportation","Petroleum Products",48.7
1993,"louisiana","Transportation","Natural Gas",3.1
1993,"louisiana","Transportation","All",51.8
1993,"louisiana","Electric Power","Coal",20
1993,"louisiana","Electric Power","Petroleum Products",3.8
1993,"louisiana","Electric Power","Natural Gas",13.5
1993,"louisiana","Electric Power","All",37.4
1993,"louisiana","All","Coal",21.1
1993,"louisiana","All","Petroleum Products",101.9
1993,"louisiana","All","Natural Gas",83.9
1993,"louisiana","All","All",206.9
1994,"louisiana","Residential","Coal",0
1994,"louisiana","Residential","Petroleum Products",0.1
1994,"louisiana","Residential","Natural Gas",2.9
1994,"louisiana","Residential","All",3.1
1994,"louisiana","Commercial","Coal",0
1994,"louisiana","Commercial","Petroleum Products",0.4
1994,"louisiana","Commercial","Natural Gas",1.3
1994,"louisiana","Commercial","All",1.7
1994,"louisiana","Industrial","Coal",1.1
1994,"louisiana","Industrial","Petroleum Products",52.4
1994,"louisiana","Industrial","Natural Gas",61
1994,"louisiana","Industrial","All",114.5
1994,"louisiana","Transportation","Coal",0
1994,"louisiana","Transportation","Petroleum Products",50.9
1994,"louisiana","Transportation","Natural Gas",3.5
1994,"louisiana","Transportation","All",54.3
1994,"louisiana","Electric Power","Coal",20.7
1994,"louisiana","Electric Power","Petroleum Products",2.5
1994,"louisiana","Electric Power","Natural Gas",15.5
1994,"louisiana","Electric Power","All",38.7
1994,"louisiana","All","Coal",21.8
1994,"louisiana","All","Petroleum Products",106.3
1994,"louisiana","All","Natural Gas",84.3
1994,"louisiana","All","All",212.4
1995,"louisiana","Residential","Coal",0
1995,"louisiana","Residential","Petroleum Products",0.1
1995,"louisiana","Residential","Natural Gas",2.9
1995,"louisiana","Residential","All",3
1995,"louisiana","Commercial","Coal",0
1995,"louisiana","Commercial","Petroleum Products",0.2
1995,"louisiana","Commercial","Natural Gas",1.3
1995,"louisiana","Commercial","All",1.5
1995,"louisiana","Industrial","Coal",0.7
1995,"louisiana","Industrial","Petroleum Products",50.3
1995,"louisiana","Industrial","Natural Gas",63.1
1995,"louisiana","Industrial","All",114.1
1995,"louisiana","Transportation","Coal",0
1995,"louisiana","Transportation","Petroleum Products",50.8
1995,"louisiana","Transportation","Natural Gas",3.6
1995,"louisiana","Transportation","All",54.3
1995,"louisiana","Electric Power","Coal",19.7
1995,"louisiana","Electric Power","Petroleum Products",1.9
1995,"louisiana","Electric Power","Natural Gas",18
1995,"louisiana","Electric Power","All",39.6
1995,"louisiana","All","Coal",20.5
1995,"louisiana","All","Petroleum Products",103.3
1995,"louisiana","All","Natural Gas",88.8
1995,"louisiana","All","All",212.6
1996,"louisiana","Residential","Coal",0
1996,"louisiana","Residential","Petroleum Products",0.2
1996,"louisiana","Residential","Natural Gas",3.1
1996,"louisiana","Residential","All",3.3
1996,"louisiana","Commercial","Coal",0
1996,"louisiana","Commercial","Petroleum Products",0.1
1996,"louisiana","Commercial","Natural Gas",1.4
1996,"louisiana","Commercial","All",1.6
1996,"louisiana","Industrial","Coal",0.2
1996,"louisiana","Industrial","Petroleum Products",53.7
1996,"louisiana","Industrial","Natural Gas",63.7
1996,"louisiana","Industrial","All",117.6
1996,"louisiana","Transportation","Coal",0
1996,"louisiana","Transportation","Petroleum Products",55.7
1996,"louisiana","Transportation","Natural Gas",3.8
1996,"louisiana","Transportation","All",59.4
1996,"louisiana","Electric Power","Coal",19.2
1996,"louisiana","Electric Power","Petroleum Products",2.1
1996,"louisiana","Electric Power","Natural Gas",14
1996,"louisiana","Electric Power","All",35.3
1996,"louisiana","All","Coal",19.4
1996,"louisiana","All","Petroleum Products",111.8
1996,"louisiana","All","Natural Gas",86
1996,"louisiana","All","All",217.2
1997,"louisiana","Residential","Coal",0
1997,"louisiana","Residential","Petroleum Products",0.2
1997,"louisiana","Residential","Natural Gas",3.2
1997,"louisiana","Residential","All",3.4
1997,"louisiana","Commercial","Coal",0
1997,"louisiana","Commercial","Petroleum Products",0.2
1997,"louisiana","Commercial","Natural Gas",1.5
1997,"louisiana","Commercial","All",1.8
1997,"louisiana","Industrial","Coal",0.2
1997,"louisiana","Industrial","Petroleum Products",52.8
1997,"louisiana","Industrial","Natural Gas",70.6
1997,"louisiana","Industrial","All",123.6
1997,"louisiana","Transportation","Coal",0
1997,"louisiana","Transportation","Petroleum Products",52.3
1997,"louisiana","Transportation","Natural Gas",4.3
1997,"louisiana","Transportation","All",56.7
1997,"louisiana","Electric Power","Coal",21.2
1997,"louisiana","Electric Power","Petroleum Products",2.5
1997,"louisiana","Electric Power","Natural Gas",15.3
1997,"louisiana","Electric Power","All",39.1
1997,"louisiana","All","Coal",21.3
1997,"louisiana","All","Petroleum Products",108.1
1997,"louisiana","All","Natural Gas",95
1997,"louisiana","All","All",224.4
1998,"louisiana","Residential","Coal",0
1998,"louisiana","Residential","Petroleum Products",0.3
1998,"louisiana","Residential","Natural Gas",2.7
1998,"louisiana","Residential","All",3
1998,"louisiana","Commercial","Coal",0
1998,"louisiana","Commercial","Petroleum Products",0.2
1998,"louisiana","Commercial","Natural Gas",1.4
1998,"louisiana","Commercial","All",1.6
1998,"louisiana","Industrial","Coal",0.1
1998,"louisiana","Industrial","Petroleum Products",48.2
1998,"louisiana","Industrial","Natural Gas",60.2
1998,"louisiana","Industrial","All",108.4
1998,"louisiana","Transportation","Coal",0
1998,"louisiana","Transportation","Petroleum Products",52
1998,"louisiana","Transportation","Natural Gas",3.5
1998,"louisiana","Transportation","All",55.5
1998,"louisiana","Electric Power","Coal",21.2
1998,"louisiana","Electric Power","Petroleum Products",2.5
1998,"louisiana","Electric Power","Natural Gas",17.7
1998,"louisiana","Electric Power","All",41.4
1998,"louisiana","All","Coal",21.3
1998,"louisiana","All","Petroleum Products",103.3
1998,"louisiana","All","Natural Gas",85.4
1998,"louisiana","All","All",210
1999,"louisiana","Residential","Coal",0
1999,"louisiana","Residential","Petroleum Products",0.4
1999,"louisiana","Residential","Natural Gas",2.5
1999,"louisiana","Residential","All",2.9
1999,"louisiana","Commercial","Coal",0
1999,"louisiana","Commercial","Petroleum Products",0.4
1999,"louisiana","Commercial","Natural Gas",1.4
1999,"louisiana","Commercial","All",1.8
1999,"louisiana","Industrial","Coal",0.1
1999,"louisiana","Industrial","Petroleum Products",53.2
1999,"louisiana","Industrial","Natural Gas",54.9
1999,"louisiana","Industrial","All",108.2
1999,"louisiana","Transportation","Coal",0
1999,"louisiana","Transportation","Petroleum Products",52.7
1999,"louisiana","Transportation","Natural Gas",2.7
1999,"louisiana","Transportation","All",55.3
1999,"louisiana","Electric Power","Coal",21.4
1999,"louisiana","Electric Power","Petroleum Products",2.1
1999,"louisiana","Electric Power","Natural Gas",17.8
1999,"louisiana","Electric Power","All",41.3
1999,"louisiana","All","Coal",21.5
1999,"louisiana","All","Petroleum Products",108.8
1999,"louisiana","All","Natural Gas",79.2
1999,"louisiana","All","All",209.5
2000,"louisiana","Residential","Coal",0
2000,"louisiana","Residential","Petroleum Products",0.5
2000,"louisiana","Residential","Natural Gas",2.8
2000,"louisiana","Residential","All",3.3
2000,"louisiana","Commercial","Coal",0
2000,"louisiana","Commercial","Petroleum Products",1.1
2000,"louisiana","Commercial","Natural Gas",1.4
2000,"louisiana","Commercial","All",2.6
2000,"louisiana","Industrial","Coal",0.1
2000,"louisiana","Industrial","Petroleum Products",61.2
2000,"louisiana","Industrial","Natural Gas",58.9
2000,"louisiana","Industrial","All",120.2
2000,"louisiana","Transportation","Coal",0
2000,"louisiana","Transportation","Petroleum Products",58.3
2000,"louisiana","Transportation","Natural Gas",2.9
2000,"louisiana","Transportation","All",61.2
2000,"louisiana","Electric Power","Coal",23.8
2000,"louisiana","Electric Power","Petroleum Products",2.2
2000,"louisiana","Electric Power","Natural Gas",16.7
2000,"louisiana","Electric Power","All",42.7
2000,"louisiana","All","Coal",23.9
2000,"louisiana","All","Petroleum Products",123.3
2000,"louisiana","All","Natural Gas",82.7
2000,"louisiana","All","All",229.9
2001,"louisiana","Residential","Coal",0
2001,"louisiana","Residential","Petroleum Products",0.4
2001,"louisiana","Residential","Natural Gas",2.7
2001,"louisiana","Residential","All",3.1
2001,"louisiana","Commercial","Coal",0
2001,"louisiana","Commercial","Petroleum Products",0.6
2001,"louisiana","Commercial","Natural Gas",1.3
2001,"louisiana","Commercial","All",2
2001,"louisiana","Industrial","Coal",0.2
2001,"louisiana","Industrial","Petroleum Products",56
2001,"louisiana","Industrial","Natural Gas",48.3
2001,"louisiana","Industrial","All",104.5
2001,"louisiana","Transportation","Coal",0
2001,"louisiana","Transportation","Petroleum Products",50.7
2001,"louisiana","Transportation","Natural Gas",2.6
2001,"louisiana","Transportation","All",53.3
2001,"louisiana","Electric Power","Coal",22.5
2001,"louisiana","Electric Power","Petroleum Products",3.5
2001,"louisiana","Electric Power","Natural Gas",13.4
2001,"louisiana","Electric Power","All",39.4
2001,"louisiana","All","Coal",22.7
2001,"louisiana","All","Petroleum Products",111.2
2001,"louisiana","All","Natural Gas",68.3
2001,"louisiana","All","All",202.2
2002,"louisiana","Residential","Coal",0
2002,"louisiana","Residential","Petroleum Products",0.2
2002,"louisiana","Residential","Natural Gas",2.7
2002,"louisiana","Residential","All",2.9
2002,"louisiana","Commercial","Coal",0
2002,"louisiana","Commercial","Petroleum Products",0.5
2002,"louisiana","Commercial","Natural Gas",1.4
2002,"louisiana","Commercial","All",1.9
2002,"louisiana","Industrial","Coal",0.1
2002,"louisiana","Industrial","Petroleum Products",58.9
2002,"louisiana","Industrial","Natural Gas",50.6
2002,"louisiana","Industrial","All",109.6
2002,"louisiana","Transportation","Coal",0
2002,"louisiana","Transportation","Petroleum Products",51.8
2002,"louisiana","Transportation","Natural Gas",2.8
2002,"louisiana","Transportation","All",54.6
2002,"louisiana","Electric Power","Coal",21.8
2002,"louisiana","Electric Power","Petroleum Products",2
2002,"louisiana","Electric Power","Natural Gas",17.6
2002,"louisiana","Electric Power","All",41.5
2002,"louisiana","All","Coal",21.9
2002,"louisiana","All","Petroleum Products",113.5
2002,"louisiana","All","Natural Gas",75.1
2002,"louisiana","All","All",210.6
2003,"louisiana","Residential","Coal",0
2003,"louisiana","Residential","Petroleum Products",0.2
2003,"louisiana","Residential","Natural Gas",2.6
2003,"louisiana","Residential","All",2.8
2003,"louisiana","Commercial","Coal",0
2003,"louisiana","Commercial","Petroleum Products",1
2003,"louisiana","Commercial","Natural Gas",1.4
2003,"louisiana","Commercial","All",2.4
2003,"louisiana","Industrial","Coal",0.3
2003,"louisiana","Industrial","Petroleum Products",59
2003,"louisiana","Industrial","Natural Gas",49.3
2003,"louisiana","Industrial","All",108.5
2003,"louisiana","Transportation","Coal",0
2003,"louisiana","Transportation","Petroleum Products",51.8
2003,"louisiana","Transportation","Natural Gas",2.6
2003,"louisiana","Transportation","All",54.3
2003,"louisiana","Electric Power","Coal",23.1
2003,"louisiana","Electric Power","Petroleum Products",3
2003,"louisiana","Electric Power","Natural Gas",12.9
2003,"louisiana","Electric Power","All",39.1
2003,"louisiana","All","Coal",23.4
2003,"louisiana","All","Petroleum Products",114.9
2003,"louisiana","All","Natural Gas",68.8
2003,"louisiana","All","All",207.1
2004,"louisiana","Residential","Coal",0
2004,"louisiana","Residential","Petroleum Products",0.2
2004,"louisiana","Residential","Natural Gas",2.3
2004,"louisiana","Residential","All",2.5
2004,"louisiana","Commercial","Coal",0
2004,"louisiana","Commercial","Petroleum Products",0.8
2004,"louisiana","Commercial","Natural Gas",1.4
2004,"louisiana","Commercial","All",2.2
2004,"louisiana","Industrial","Coal",0.2
2004,"louisiana","Industrial","Petroleum Products",67.3
2004,"louisiana","Industrial","Natural Gas",51.3
2004,"louisiana","Industrial","All",118.8
2004,"louisiana","Transportation","Coal",0
2004,"louisiana","Transportation","Petroleum Products",50.9
2004,"louisiana","Transportation","Natural Gas",2.5
2004,"louisiana","Transportation","All",53.3
2004,"louisiana","Electric Power","Coal",24
2004,"louisiana","Electric Power","Petroleum Products",3.5
2004,"louisiana","Electric Power","Natural Gas",13.4
2004,"louisiana","Electric Power","All",41
2004,"louisiana","All","Coal",24.2
2004,"louisiana","All","Petroleum Products",122.6
2004,"louisiana","All","Natural Gas",70.9
2004,"louisiana","All","All",217.8
2005,"louisiana","Residential","Coal",0
2005,"louisiana","Residential","Petroleum Products",0.2
2005,"louisiana","Residential","Natural Gas",2.3
2005,"louisiana","Residential","All",2.5
2005,"louisiana","Commercial","Coal",0
2005,"louisiana","Commercial","Petroleum Products",0.7
2005,"louisiana","Commercial","Natural Gas",1.4
2005,"louisiana","Commercial","All",2.1
2005,"louisiana","Industrial","Coal",0.2
2005,"louisiana","Industrial","Petroleum Products",64
2005,"louisiana","Industrial","Natural Gas",48.2
2005,"louisiana","Industrial","All",112.4
2005,"louisiana","Transportation","Coal",0
2005,"louisiana","Transportation","Petroleum Products",48.5
2005,"louisiana","Transportation","Natural Gas",2.3
2005,"louisiana","Transportation","All",50.8
2005,"louisiana","Electric Power","Coal",23.8
2005,"louisiana","Electric Power","Petroleum Products",3.5
2005,"louisiana","Electric Power","Natural Gas",15.6
2005,"louisiana","Electric Power","All",42.9
2005,"louisiana","All","Coal",23.9
2005,"louisiana","All","Petroleum Products",116.9
2005,"louisiana","All","Natural Gas",69.8
2005,"louisiana","All","All",210.6
2006,"louisiana","Residential","Coal",0
2006,"louisiana","Residential","Petroleum Products",0.2
2006,"louisiana","Residential","Natural Gas",1.8
2006,"louisiana","Residential","All",2.1
2006,"louisiana","Commercial","Coal",0
2006,"louisiana","Commercial","Petroleum Products",0.2
2006,"louisiana","Commercial","Natural Gas",1.2
2006,"louisiana","Commercial","All",1.5
2006,"louisiana","Industrial","Coal",0.2
2006,"louisiana","Industrial","Petroleum Products",73.8
2006,"louisiana","Industrial","Natural Gas",53
2006,"louisiana","Industrial","All",127
2006,"louisiana","Transportation","Coal",0
2006,"louisiana","Transportation","Petroleum Products",52.1
2006,"louisiana","Transportation","Natural Gas",2.6
2006,"louisiana","Transportation","All",54.8
2006,"louisiana","Electric Power","Coal",24.9
2006,"louisiana","Electric Power","Petroleum Products",2.1
2006,"louisiana","Electric Power","Natural Gas",10.8
2006,"louisiana","Electric Power","All",37.8
2006,"louisiana","All","Coal",25
2006,"louisiana","All","Petroleum Products",128.5
2006,"louisiana","All","Natural Gas",69.5
2006,"louisiana","All","All",223.1
2007,"louisiana","Residential","Coal",0
2007,"louisiana","Residential","Petroleum Products",0.1
2007,"louisiana","Residential","Natural Gas",2
2007,"louisiana","Residential","All",2.2
2007,"louisiana","Commercial","Coal",0
2007,"louisiana","Commercial","Petroleum Products",1.3
2007,"louisiana","Commercial","Natural Gas",1.3
2007,"louisiana","Commercial","All",2.7
2007,"louisiana","Industrial","Coal",0.2
2007,"louisiana","Industrial","Petroleum Products",78.5
2007,"louisiana","Industrial","Natural Gas",55.4
2007,"louisiana","Industrial","All",134.1
2007,"louisiana","Transportation","Coal",0
2007,"louisiana","Transportation","Petroleum Products",47.6
2007,"louisiana","Transportation","Natural Gas",2.9
2007,"louisiana","Transportation","All",50.5
2007,"louisiana","Electric Power","Coal",23.4
2007,"louisiana","Electric Power","Petroleum Products",2.4
2007,"louisiana","Electric Power","Natural Gas",12.3
2007,"louisiana","Electric Power","All",38.1
