"year","state","population"
1985,"district of columbia",634545
1985,"delaware",618287
1985,"florida",11351091
1985,"georgia",5962708
1985,"hawaii",1039689
1985,"iowa",2829691
1985,"idaho",994050
1985,"illinois",11399816
1985,"indiana",5459201
1985,"kansas",2427428
1985,"kentucky",3694833
1985,"louisiana",4408128
1985,"massachusetts",5880748
1985,"maryland",4413118
1985,"maine",1162942
1985,"michigan",9076282
1985,"minnesota",4184290
1985,"missouri",5000286
1985,"mississippi",2588120
1985,"montana",822326
1985,"north carolina",6253991
1985,"north dakota",676978
1985,"nebraska",1584659
1985,"new hampshire",996760
1985,"new jersey",7565511
1985,"new mexico",1438385
1985,"nevada",951040
1985,"new york",17791750
1985,"ohio",10734943
1985,"oklahoma",3271395
1985,"oregon",2672681
1985,"pennsylvania",11770908
1985,"rhode island",968958
1985,"south carolina",3303250
1985,"south dakota",698404
1985,"tennessee",4715288
1985,"texas",16272777
1985,"utah",1642906
1985,"virginia",5715198
1985,"vermont",530031
1985,"washington",4400084
1985,"wisconsin",4747766
1985,"west virginia",1906823
1985,"wyoming",499688
1986,"alaska",544270
1986,"alabama",3991552
1986,"arkansas",2331988
1986,"arizona",3308269
1986,"california",27102241
1986,"colorado",3237457
1986,"connecticut",3223744
1986,"district of columbia",638280
1986,"delaware",627545
1986,"florida",11667511
1986,"georgia",6084739
1986,"hawaii",1051767
1986,"iowa",2791923
1986,"idaho",990259
1986,"illinois",11387247
1986,"indiana",5454137
1986,"kansas",2432638
1986,"kentucky",3687821
1986,"louisiana",4406953
1986,"massachusetts",5902658
1986,"maryland",4487008
1986,"maine",1170120
1986,"michigan",9127778
1986,"minnesota",4205257
1986,"missouri",5023077
1986,"mississippi",2593609
1986,"montana",813770
1986,"north carolina",6321646
1986,"north dakota",669520
1986,"nebraska",1574301
1986,"new hampshire",1025069
1986,"new jersey",7622189
1986,"new mexico",1462762
1986,"nevada",980635
1986,"new york",17833489
1986,"ohio",10730284
1986,"oklahoma",3252756
1986,"oregon",2683537
1986,"pennsylvania",11782786
1986,"rhode island",977341
1986,"south carolina",3342740
1986,"south dakota",696014
1986,"tennessee",4738700
1986,"texas",16561153
1986,"utah",1662830
1986,"virginia",5811695
1986,"vermont",534065
1986,"washington",4452726
1986,"wisconsin",4755646
1986,"west virginia",1882351
1986,"wyoming",495619
1987,"alaska",539324
1987,"alabama",4015266
1987,"arkansas",2342405
1987,"arizona",3437097
1987,"california",27777121
1987,"colorado",3260504
1987,"connecticut",3247304
1987,"district of columbia",636931
1987,"delaware",636950
1987,"florida",11997293
1987,"georgia",6208502
1987,"hawaii",1067914
1987,"iowa",2767011
1987,"idaho",985010
1987,"illinois",11391175
1987,"indiana",5473040
1987,"kansas",2445422
1987,"kentucky",3683341
1987,"louisiana",4344222
1987,"massachusetts",5935207
1987,"maryland",4565574
1987,"maine",1184588
1987,"michigan",9187469
1987,"minnesota",4235173
1987,"missouri",5056727
1987,"mississippi",2588571
1987,"montana",805084
1987,"north carolina",6403731
1987,"north dakota",661140
1987,"nebraska",1566549
1987,"new hampshire",1054291
1987,"new jersey",7670784
1987,"new mexico",1478507
1987,"nevada",1023357
1987,"new york",17868881
1987,"ohio",10760062
1987,"oklahoma",3210172
1987,"oregon",2701015
1987,"pennsylvania",11810896
