"year","state","gdp.nominal","gdp.adjusted"
1984,"indiana",78859,628506
1984,"iowa",41264,328874
1984,"kansas",38442,306382
1984,"kentucky",49344,393271
1984,"louisiana",82623,658505
1984,"maine",14897,118729
1984,"maryland",69920,557262
1984,"massachusetts",106425,848207
1984,"michigan",143678,1145113
1984,"minnesota",71369,568810
1984,"mississippi",28744,229089
1984,"missouri",74539,594075
1984,"montana",11010,87749
1984,"nebraska",24631,196309
1984,"nevada",16514,131616
1984,"new hampshire",14767,117692
1984,"new jersey",133572,1064568
1984,"new mexico",21397,170534
1984,"new york",339427,2705233
1984,"north carolina",88151,702563
1984,"north dakota",10642,84816
1984,"ohio",163854,1305916
1984,"oklahoma",51291,408789
1984,"oregon",37444,298428
1984,"pennsylvania",167390,1334098
1984,"rhode island",13801,109993
1984,"south carolina",41203,328387
1984,"south dakota",9194,73276
1984,"tennessee",63983,509944
1984,"texas",288637,2300436
1984,"utah",22147,176511
1984,"vermont",6895,54953
1984,"virginia",89768,715450
1984,"washington",74170,591134
1984,"west virginia",22172,176710
1984,"wisconsin",70013,558003
1984,"wyoming",12152,96851
1985,"alabama",53824,428977
1985,"alaska",26142,208351
1985,"arizona",50709,404150
1985,"arkansas",29326,233728
1985,"california",523906,4175530
1985,"colorado",59641,475338
1985,"connecticut",69231,551771
1985,"delaware",13092,104343
1985,"district of columbia",28534,227415
1985,"florida",170894,1362025
1985,"georgia",98223,782837
1985,"hawaii",20722,165154
1985,"idaho",13044,103960
1985,"illinois",206281,1644059
1985,"indiana",82011,653627
1985,"iowa",42431,338175
1985,"kansas",40658,324044
1985,"kentucky",51893,413587
1985,"louisiana",84391,672596
1985,"maine",16046,127886
1985,"maryland",76878,612717
1985,"massachusetts",116613,929405
1985,"michigan",153605,1224231
1985,"minnesota",75832,604381
1985,"mississippi",30138,240199
1985,"missouri",77912,620958
1985,"montana",10941,87199
1985,"nebraska",25717,204964
1985,"nevada",17945,143021
1985,"new hampshire",16578,132126
1985,"new jersey",145929,1163054
1985,"new mexico",22534,179595
1985,"new york",364281,2903319
1985,"north carolina",96535,769383
1985,"north dakota",10655,84920
1985,"ohio",174165,1388095
1985,"oklahoma",52765,420537
1985,"oregon",39446,314384
1985,"pennsylvania",176873,1409677
1985,"rhode island",15222,121319
1985,"south carolina",43988,350584
1985,"south dakota",9588,76416
1985,"tennessee",68426,545355
1985,"texas",307224,2448575
1985,"utah",24083,191941
1985,"vermont",7524,59966
1985,"virginia",97967,780796
1985,"washington",77341,616407
1985,"west virginia",22936,182799
1985,"wisconsin",73820,588345
1985,"wyoming",12205,97273
1986,"alabama",56134,447387
1986,"alaska",19181,152872
1986,"arizona",55881,445371
1986,"arkansas",30799,245468
1986,"california",563082,4487763
1986,"colorado",60970,485930
1986,"connecticut",75305,600180
1986,"delaware",14138,112679
1986,"district of columbia",30079,239729
1986,"florida",185852,1481240
1986,"georgia",108089,861469
1986,"hawaii",22437,178822
1986,"idaho",13220,105363
1986,"illinois",218696,1743007
1986,"indiana",86437,688902
1986,"iowa",43226,344511
1986,"kansas",41795,333106
1986,"kentucky",53199,423996
1986,"louisiana",77107,614542
1986,"maine",17382,138534
1986,"maryland",83744,667439
1986,"massachusetts",127155,1013425
1986,"michigan",163458,1302760
1986,"minnesota",79450,633216
1986,"mississippi",30996,247038
1986,"missouri",83330,664140
1986,"montana",10979,87502
1986,"nebraska",26045,207578
1986,"nevada",19731,157256
1986,"new hampshire",18369,146400
1986,"new jersey",158836,1265922
1986,"new mexico",21807,173801
1986,"new york",390104,3109128
1986,"north carolina",104785,835136
1986,"north dakota",9773,77890
1986,"ohio",182644,1455672
1986,"oklahoma",48997,390506
1986,"oregon",41730,332588
1986,"pennsylvania",187386,1493466
1986,"rhode island",16622,132477
1986,"south carolina",47748,380551
1986,"south dakota",10067,80233
1986,"tennessee",73288,584105
1986,"texas",295721,2356896
1986,"utah",24282,193527
1986,"vermont",8169,65106
1986,"virginia",107348,855563
1986,"washington",84015,669599
1986,"west virginia",22880,182353
1986,"wisconsin",77824,620257
1986,"wyoming",10522,83860
1987,"alabama",60752,484193
1987,"alaska",22925,182712
1987,"arizona",60047,478574
1987,"arkansas",32664,260332
1987,"california",615359,4904411
1987,"colorado",63920,509442
1987,"connecticut",82984,661382
1987,"delaware",15568,124076
1987,"district of columbia",32129,256068
1987,"florida",204816,1632383
1987,"georgia",117033,932753
1987,"hawaii",24273,193455
1987,"idaho",13996,111548
1987,"illinois",231210,1842743
1987,"indiana",91650,730450
