"year","compared.area","sector","conversion.efficiency","production.efficiency","externality.efficiency","prod.to.consumption","fraction.renewable","per.capita.consumption"
2005,"arizona","industrial",0.290814865453097,1.27887597466275,1.07186511380751,0.373007635863293,7.80778461459902,3.09836112006814
2006,"arizona","industrial",0.282350705179948,1.11775271512658,1.01903789649322,0.432360380487556,6.3343485366216,3.13588202855786
2007,"arizona","industrial",0.265462151304949,1.02253223468584,1.0073159498885,0.406153883827456,6.79196017894273,3.30429501877784
2008,"arizona","industrial",0.252425765576232,1.31954139298892,1.29637146058734,0.410588096026367,6.49289259546882,3.63679133298227
2009,"arizona","industrial",0.299748973190497,1.30243541900693,1.01375469835411,0.379590103515504,7.70053336980306,3.30697662113629
2010,"arizona","industrial",0.301308971524103,1.25796697631203,1.14852408633497,0.377039567903435,7.51779435614661,3.35428374427141
2011,"arizona","industrial",0.31439203823977,1.34169803868421,1.19967583941865,0.390130263078158,5.86036387883406,3.13757604276858
2012,"arizona","industrial",0.305536486707324,1.44212387516179,1.30841580296824,0.393579267672524,6.3974383791457,3.20428667760479
2013,"arizona","industrial",0.305207177326329,1.4628233114366,1.21879232853015,0.406347338796657,5.98382021107592,3.22156431861485
2014,"arizona","industrial",0.364836395707664,1.23567796453724,1.23438393973224,0.444127214751673,5.54023976356892,2.72667167543201
2015,"arizona","industrial",0.39946555527746,1.2002117754777,NA,0.468425717328484,5.09192154393059,2.52632192628211
1980,"arizona","industrial: electricity",0.769374715576648,0.866373210938275,NA,1.07363305974462,2.16809222396642,1.05342384391013
1981,"arizona","industrial: electricity",0.963699607761881,0.772498067143979,NA,1.56474908828112,2.62918147914695,0.845237575567462
1982,"arizona","industrial: electricity",0.735588090828513,0.994870969451549,NA,1.03974736642369,2.79450144716291,1.16954213680139
1983,"arizona","industrial: electricity",0.612174096335898,1.12579043042739,NA,0.868517091079449,1.68754100954564,1.40989144354225
1984,"arizona","industrial: electricity",0.606118831070146,1.04149790485195,NA,0.822890412104161,1.6831224354626,1.41340446103036
1985,"arizona","industrial: electricity",0.657971726430493,0.993417067291245,NA,1.0096092294267,1.632020019066,1.31664245263439
1986,"arizona","industrial: electricity",0.628655034907567,1.06572617327236,NA,0.710826314888074,1.99349674682445,1.39895201213012
1987,"arizona","industrial: electricity",0.623080385495595,1.08832224508239,NA,0.600298439343082,3.07394726117455,1.48578945291816
1988,"arizona","industrial: electricity",0.660215395933311,1.03730525803311,NA,0.557279082246962,4.30318288357812,1.46337761259935
1989,"arizona","industrial: electricity",0.70584133028281,0.946673673860839,NA,1.0697706099168,3.00654078253581,1.40441434905599
1990,"arizona","industrial: electricity",0.695506535069008,0.880732940737503,NA,0.759696622596369,4.44958666755791,1.41560215015013
1991,"arizona","industrial: electricity",0.704200735811277,0.783673471974195,NA,0.764882553369144,5.11750782140684,1.38623506335075
1992,"arizona","industrial: electricity",0.684425159716532,0.789212494006974,NA,0.791404184142492,5.34023104265184,1.35880987974256
1993,"arizona","industrial: electricity",0.615396080855036,0.833653647168159,NA,0.811705054543883,4.90231946778734,1.50095536087581
1994,"arizona","industrial: electricity",0.603615985329451,0.783200584323901,NA,0.825774737544041,4.63305156250622,1.4961481811563
1995,"arizona","industrial: electricity",0.61939888990545,0.791360621565958,NA,0.605336027668195,6.18359547672988,1.47455670613584
1996,"arizona","industrial: electricity",0.65568134612855,0.829836712100391,NA,0.915818742905601,4.36088675701934,1.37091807115301
1997,"arizona","industrial: electricity",0.618905599918974,0.794460147961187,NA,0.612263748638506,4.99034652241768,1.41175506294334
1998,"arizona","industrial: electricity",0.611768185705519,0.775069448121293,NA,0.592384836917428,5.47329606468322,1.42848752684342
1999,"arizona","industrial: electricity",0.589161942915315,0.785499938598279,NA,0.611634232081721,6.02153626519029,1.49193358503455
2000,"arizona","industrial: electricity",0.588025783633776,0.765189759731201,NA,0.608457731364073,6.9967254108121,1.53572979543857
2001,"arizona","industrial: electricity",0.581124864923552,0.733684253980137,NA,0.550511569191103,7.56174251212533,1.59039294763149
2002,"arizona","industrial: electricity",0.700772467925266,0.737938382482043,NA,0.63208529465556,7.94056169429098,1.34042007204873
2003,"arizona","industrial: electricity",0.631451182280482,0.846380258488778,NA,0.591303877679981,7.75071919498309,1.46533282264296
2004,"arizona","industrial: electricity",0.705474554960331,0.815557152428681,NA,0.671549888270788,8.02959103421156,1.34068396035544
2005,"arizona","industrial: electricity",0.625580378125598,0.80380926686086,NA,0.802387654852289,7.80778461459902,1.44034164715572
2006,"arizona","industrial: electricity",0.627330286640419,0.644194924559613,NA,0.960623637367426,6.3343485366216,1.41140722993971
2007,"arizona","industrial: electricity",0.712748246620673,0.428645264565188,NA,1.09049620495108,6.79196017894273,1.23068035367307
2008,"arizona","industrial: electricity",0.788797196693071,0.568758329542346,NA,1.28303360158904,6.49289259546882,1.16382238719627
2009,"arizona","industrial: electricity",0.816269396007262,0.663412690439604,NA,1.03369089551483,7.70053336980306,1.21438198148711
2010,"arizona","industrial: electricity",0.783468532556806,0.723298495441396,NA,0.980384472081764,7.51779435614661,1.29000175908552
2011,"arizona","industrial: electricity",0.829663533263929,0.737921964754419,NA,1.02953259984198,5.86036387883406,1.18895056570419
2012,"arizona","industrial: electricity",0.816832080029764,0.818450410568584,NA,1.05220877327655,6.3974383791457,1.19856518593488
2013,"arizona","industrial: electricity",0.777252169284353,0.798079814554045,NA,1.03481953907308,5.98382021107592,1.26502644973634
2014,"arizona","industrial: electricity",0.860404274994474,0.722450637253182,NA,1.04739811792221,5.54023976356892,1.15618796332594
2015,"arizona","industrial: electricity",0.91312401309007,0.691913196302544,NA,1.07075757894692,5.09192154393059,1.10519335448948
1980,"arizona","residential",0.60111706168484,0.846693698623656,0.331594077459543,0.838835923685999,2.16809222396642,1.34828591958174
1981,"arizona","residential",0.645074301844292,0.789049429202657,0.338984805126559,1.04740047371052,2.62918147914695,1.2627306927452
1982,"arizona","residential",0.68654363419017,0.898265255213504,0.3856032299391,0.970423453675238,2.79450144716291,1.25309044423378
1983,"arizona","residential",0.804859808711113,1.0165123716444,0.469697191893843,1.14188840065683,1.68754100954564,1.07235944824272
1984,"arizona","residential",0.754379756977674,0.961361618238374,0.348556638260007,1.02417519021209,1.6831224354626,1.13562307554656
1985,"arizona","residential",0.70237179885498,0.962951300705287,0.289666844130397,1.07773787554674,1.632020019066,1.23341157640983
1986,"arizona","residential",0.640798697851293,1.13808179159127,0.250969610983938,0.724557271772561,1.99349674682445,1.37244071963417
1987,"arizona","residential",0.698231651220509,1.14893834281487,0.267410047319972,0.67270191821915,3.07394726117455,1.3258726720155
1988,"arizona","residential",0.700719574298098,1.16514840862791,0.238701164415963,0.591468123407366,4.30318288357812,1.37878898398122
1989,"arizona","residential",0.760090028662239,1.07585575699434,0.230966700392822,1.15198974425015,3.00654078253581,1.30417931432494
1990,"arizona","residential",0.82240148017831,0.959885052036851,0.247639273872758,0.898303028666333,4.44958666755791,1.19717749811647
1991,"arizona","residential",0.818235035835958,0.923999437822892,0.248846216087008,0.888743325076598,5.11750782140684,1.19304076318568
1992,"arizona","residential",0.739187020892389,0.99999878096612,0.234742981973423,0.854725594015783,5.34023104265184,1.25814393743609
1993,"arizona","residential",0.696749948247447,1.03088561493271,0.224522753068777,0.919010491519306,4.90231946778734,1.32570091888014
1994,"arizona","residential",0.750791590690719,0.922692142761679,0.200160175326433,1.02711780970233,4.63305156250622,1.20286237854194
1995,"arizona","residential",0.68050510908034,0.89826154058886,0.163392334578039,0.665054888299019,6.18359547672988,1.342148317031
1996,"arizona","residential",0.679822843303627,0.817618577925624,0.148722320558703,0.94953822528112,4.36088675701934,1.3222347780451
1997,"arizona","residential",0.685150480367392,0.828202559921814,0.160400409369058,0.677797715105716,4.99034652241768,1.27525724524207
1998,"arizona","residential",0.685103051154919,0.890817938266003,0.170464460504065,0.663396150229683,5.47329606468322,1.27557923020014
1999,"arizona","residential",0.715009065570188,0.836246197166254,0.161952643794014,0.742281517009579,6.02153626519029,1.22934174122479
2000,"arizona","residential",0.786341195478395,0.700861042061479,0.156775909471119,0.813663946710337,6.9967254108121,1.14841842396812
2001,"arizona","residential",0.815600645451951,0.703050055225858,0.157524699938523,0.772635311724437,7.56174251212533,1.13317331468709
2002,"arizona","residential",0.870041421361663,0.732157221809263,0.162665079706649,0.784763119778527,7.94056169429098,1.07963765733825
2003,"arizona","residential",0.700371410264931,0.724860588269762,0.14122040628312,0.655842197032896,7.75071919498309,1.32113637097534
2004,"arizona","residential",0.684192057573285,0.700104771411944,0.140113742382212,0.651290817774337,8.02959103421156,1.38238731333548
2005,"arizona","residential",0.678657845299822,0.614147580014012,0.139210425739123,0.870466363681091,7.80778461459902,1.32769329714246
2006,"arizona","residential",0.726302774377999,0.621366321632527,0.144786886981844,1.11217906709001,6.3343485366216,1.21907630448294
2007,"arizona","residential",0.764771520081114,0.553461668783223,0.147501045142751,1.17009118473071,6.79196017894273,1.14696382017201
2008,"arizona","residential",0.850808521943349,0.537508781766317,0.17942873608319,1.38389934288316,6.49289259546882,1.07899699261614
2009,"arizona","residential",0.859004853235195,0.671161656562452,0.181851776977564,1.08780936824976,7.70053336980306,1.15396652628594
2010,"arizona","residential",0.917535237242066,0.6296769595163,0.201733738201158,1.14814732411063,7.51779435614661,1.10151168496191
2011,"arizona","residential",0.924644618102138,0.557677944623003,0.195381441737827,1.14739498536181,5.86036387883406,1.06681951952844
2012,"arizona","residential",0.929844374875476,0.5666769436838,0.200489997901899,1.19778646425122,6.3974383791457,1.05289284995627
2013,"arizona","residential",0.900427872291711,0.580138417187214,0.220779685940206,1.19881345153579,5.98382021107592,1.09197480721822
2014,"arizona","residential",0.814995881486849,0.600289673371771,0.192770681845108,0.992121003105379,5.54023976356892,1.22060624960206
2015,"arizona","residential",0.794894575714773,0.712580161828401,NA,0.93211806853056,5.09192154393059,1.26957539015089
1980,"arizona","residential: electricity",1.07236681184086,0.999082355253092,NA,1.49644696927993,2.16809222396642,0.755783992325097
1981,"arizona","residential: electricity",1.03191231579745,0.96169988815409,NA,1.67550535698578,2.62918147914695,0.789364665553475
1982,"arizona","residential: electricity",1.01096641537062,1.04244646620859,NA,1.428992232243,2.79450144716291,0.850969185992044
1983,"arizona","residential: electricity",1.0785747378692,1.05555528191341,NA,1.53021926189431,1.68754100954564,0.800221802048975
1984,"arizona","residential: electricity",1.06494694486183,1.04995573680608,NA,1.4458132389307,1.6831224354626,0.804444825991026
1985,"arizona","residential: electricity",1.1335390400514,1.01983380005454,NA,1.73933230073566,1.632020019066,0.764255554543801
1986,"arizona","residential: electricity",1.09023009956263,1.0580946381026,NA,1.23273369498442,1.99349674682445,0.806672120291379
1987,"arizona","residential: electricity",1.18403146610045,1.05466999996858,NA,1.1407392332979,3.07394726117455,0.781876404128428
1988,"arizona","residential: electricity",1.24178746059166,1.06078873411399,NA,1.04817636887433,4.30318288357812,0.778027207201705
1989,"arizona","residential: electricity",1.26978844612575,1.04025527581901,NA,1.92448685306226,3.00654078253581,0.780676257868373
1990,"arizona","residential: electricity",1.28759974584558,0.972548558996689,NA,1.40643563913857,4.44958666755791,0.764647981380719
1991,"arizona","residential: electricity",1.30593970559746,0.874582399392243,NA,1.41847408809189,5.11750782140684,0.747498331994117
1992,"arizona","residential: electricity",1.24702356668624,0.84257542121843,NA,1.44193949387911,5.34023104265184,0.745778743731795
1993,"arizona","residential: electricity",1.21751578445602,0.84372862844537,NA,1.60589861875105,4.90231946778734,0.758661249746368
1994,"arizona","residential: electricity",1.30448738610508,0.75500380143518,NA,1.78459940603212,4.63305156250622,0.692301794702658
1995,"arizona","residential: electricity",1.27305978287085,0.726944757776252,NA,1.24415617222823,6.18359547672988,0.717435896705121
1996,"arizona","residential: electricity",1.31367905960098,0.711049435457916,NA,1.83487285714135,4.36088675701934,0.684250388065554
1997,"arizona","residential: electricity",1.30853188799269,0.691840670665089,NA,1.29448923884404,4.99034652241768,0.667727796461986
1998,"arizona","residential: electricity",1.35671199919757,0.666341724826201,NA,1.31372574639806,5.47329606468322,0.644133186053364
1999,"arizona","residential: electricity",1.34748403073396,0.652936485559758,NA,1.39888085150607,6.02153626519029,0.652319782358228
2000,"arizona","residential: electricity",1.48555922203975,0.675686919640842,NA,1.53717748304084,6.9967254108121,0.607884696224074
2001,"arizona","residential: electricity",1.51308708973889,0.632278267391344,NA,1.43337860479354,7.56174251212533,0.610815393995075
2002,"arizona","residential: electricity",1.47384051944605,0.649107274238214,NA,1.32938002225953,7.94056169429098,0.637334548448434
2003,"arizona","residential: electricity",1.44320275594275,0.674788537016857,NA,1.35144475109769,7.75071919498309,0.641133852802174
2004,"arizona","residential: electricity",1.46825421132766,0.69579586158835,NA,1.39764920596697,8.02959103421156,0.644178925541073
2005,"arizona","residential: electricity",1.38046169687312,0.669787072221308,NA,1.77062047068402,7.80778461459902,0.652716025586721
2006,"arizona","residential: electricity",1.44643982598865,0.680917175767871,NA,2.21491663397205,6.3343485366216,0.61213642366301
2007,"arizona","residential: electricity",1.47255377903501,0.584818731103015,NA,2.25298948855732,6.79196017894273,0.595676216868506
2008,"arizona","residential: electricity",1.48611522234001,0.632343464737045,NA,2.41726995746047,6.49289259546882,0.617731265159612
2009,"arizona","residential: electricity",1.56588760355824,0.686082590058055,NA,1.98297739338898,7.70053336980306,0.633035758312469
2010,"arizona","residential: electricity",1.55454952293137,0.697841011505797,NA,1.94526793359569,7.51779435614661,0.650140616479448
2011,"arizona","residential: electricity",1.52926572450541,0.720393664544954,NA,1.89767159104296,5.86036387883406,0.645034353030644
2012,"arizona","residential: electricity",1.4596032071142,0.770488709112901,NA,1.88019953865204,6.3974383791457,0.670748384976553
2013,"arizona","residential: electricity",1.40044950723443,0.816178338866681,NA,1.86453325039388,5.98382021107592,0.702092111982914
2014,"arizona","residential: electricity",1.3674750279756,0.77913068525449,NA,1.66467184349643,5.54023976356892,0.727464155462836
2015,"arizona","residential: electricity",1.39939472846002,0.776973983667736,NA,1.64097372312684,5.09192154393059,0.72115363204381
1980,"arizona","transportation",1.06439708556425,0.897361402392623,0.978933143362876,1.48532552034946,2.16809222396642,0.761442962670624
1981,"arizona","transportation",1.07193915465837,0.898174916828364,0.972590619080458,1.74049652135894,2.62918147914695,0.759889324408124
1982,"arizona","transportation",1.03124653235607,0.936477125368759,0.976639382553278,1.45765800115538,2.79450144716291,0.834234337339021
1983,"arizona","transportation",1.04621247131906,0.856162496262621,0.987854589669314,1.48430555569031,1.68754100954564,0.824974891853468
1984,"arizona","transportation",1.01362154409076,0.887658121577287,0.986347124347456,1.37613188598981,1.6831224354626,0.845178424574155
1985,"arizona","transportation",0.987798180361247,0.866313832836741,0.982234746176401,1.51570366877909,1.632020019066,0.877014682629511
1986,"arizona","transportation",0.925399242244865,0.900990739488775,0.987206424929534,1.04635785389335,1.99349674682445,0.950355463752325
1987,"arizona","transportation",0.92031024616184,0.920071795317535,0.983627746439667,0.886660561530878,3.07394726117455,1.00592845613797
1988,"arizona","transportation",0.867590455903158,0.847209147858932,0.980528195717236,0.732321627169042,4.30318288357812,1.11359504167951
1989,"arizona","transportation",0.97701811049029,0.884704786513002,0.982260213905649,1.48076517358396,3.00654078253581,1.01461137901373
1990,"arizona","transportation",0.928999410620732,0.877858906107458,0.976705159893402,1.01473915636546,4.44958666755791,1.05980750389206
1991,"arizona","transportation",1.00109190722767,0.824666615543403,0.980135358940312,1.08735719123517,5.11750782140684,0.975123007758949
1992,"arizona","transportation",0.95274476836889,0.872516347876305,0.980250908228584,1.10166346955932,5.34023104265184,0.97613096376208
1993,"arizona","transportation",0.943362868291091,0.959830541285062,0.984938451292103,1.24429198086049,4.90231946778734,0.979137591343392
1994,"arizona","transportation",0.901720364236018,0.914289739447693,0.977866902523622,1.23359539046784,4.63305156250622,1.00152884906029
1995,"arizona","transportation",0.936753522283834,0.896714593929358,0.979804094028483,0.915485425183836,6.18359547672988,0.975004379654138
1996,"arizona","transportation",0.915713170143146,0.94167424622998,0.983071022331705,1.27901653645364,4.36088675701934,0.981623324457643
1997,"arizona","transportation",0.825664537705963,0.931119650121525,0.983320384600868,0.816803830891036,4.99034652241768,1.05823015797338
1998,"arizona","transportation",0.886939226003215,0.929068645226099,0.983634774583602,0.858837319475281,5.47329606468322,0.985302258575262
1999,"arizona","transportation",0.888628281255251,0.915913668207237,0.986563951354395,0.922523056601739,6.02153626519029,0.989154304674984
2000,"arizona","transportation",0.857370105464091,0.936513896833818,0.983452875250302,0.887160875984574,6.9967254108121,1.05327758765707
2001,"arizona","transportation",1.00044489544767,0.950226611569554,0.983762588338889,0.947742081823631,7.56174251212533,0.923805889832806
2002,"arizona","transportation",0.897429228812416,0.910274490421932,0.983969392023714,0.809466473769776,7.94056169429098,1.04668920042774
2003,"arizona","transportation",0.839177169684859,0.960054742225309,0.989336458174484,0.785822765749071,7.75071919498309,1.10261119667945
2004,"arizona","transportation",0.92512600760248,0.969782914342311,0.991326922766176,0.880638802170236,8.02959103421156,1.02236712891183
2005,"arizona","transportation",0.829492279953498,1.00656259514619,0.965701773486639,1.06393101270887,7.80778461459902,1.08626625471214
2006,"arizona","transportation",0.816853401655578,0.973246293959954,0.965707614487121,1.25083819895996,6.3343485366216,1.08393807301273
2007,"arizona","transportation",0.81687237280002,0.930568757774253,0.967620303634287,1.24980485983838,6.79196017894273,1.07380943882862
2008,"arizona","transportation",0.84385753883111,0.896597755297365,0.98616303470449,1.37259308452617,6.49289259546882,1.08788485523359
2009,"arizona","transportation",0.810863526507517,0.90466064640629,0.986918365533718,1.02684511872647,7.70053336980306,1.22247803008241
2010,"arizona","transportation",0.798448435961565,0.948699819236542,0.989217536723386,0.999129404495811,7.51779435614661,1.26579969308761
2011,"arizona","transportation",0.772732781001739,0.92475195819344,0.992651692224479,0.958887015171209,5.86036387883406,1.2765459826093
2012,"arizona","transportation",0.780795241079606,0.924377178867434,0.992545306927503,1.00578763112071,6.3974383791457,1.25388378715622
2013,"arizona","transportation",0.706470314049083,0.912383395304763,0.992187323900122,0.940581851866952,5.98382021107592,1.39177051421207
2014,"arizona","transportation",0.706884100184021,0.908020250837264,0.991144742462459,0.860513014218381,5.54023976356892,1.40728737014147
2015,"arizona","transportation",0.72297662650016,0.995560880793149,NA,0.84778484754421,5.09192154393059,1.39586613743962
1980,"arkansas","all",1.14003239725345,0.945740846148334,1.14034602579303,0.995623995952585,3.91459442940042,0.901771965561831
1981,"arkansas","all",1.06203543654286,0.943386833808419,1.36704234096257,1.07745382637828,3.81551687148319,0.936948825002965
1982,"arkansas","all",0.957093008516974,1.02841274338685,1.29557925213524,0.821275183045037,3.70205998169515,1.08551460521996
1983,"arkansas","all",1.06496613222308,1.07949097385671,1.71775690050815,0.975993709213514,3.06751971560081,0.989897046865391
